patch_bucket,champion_id,item1,item2,n_games,avg_place,top4_rate,baseline_avg_place,delta
TFT16.4,TFT16_Yasuo,TFT_Item_InfinityEdge,TFT_Item_MadredsBloodrazor,1,5.0,0.0,4.375,0.625
TFT16.4,TFT16_Ambessa,TFT16_Item_IoniaEmblemItem,TFT_Item_LastWhisper,1,5.0,0.0,4.071428571428571,0.9285714285714288
TFT16.4,TFT16_Yone,TFT_Item_HextechGunblade,TFT_Item_SteraksGage,1,5.0,0.0,4.0,1.0
TFT16.4,TFT16_Yone,TFT_Item_HextechGunblade,TFT_Item_UnstableConcoction,1,5.0,0.0,4.0,1.0
TFT16.4,TFT16_Yone,TFT_Item_SteraksGage,TFT_Item_UnstableConcoction,2,6.0,0.0,4.0,2.0
TFT16.4,TFT16_MissFortune,TFT16_Item_Bilgewater_DeadmansDagger,TFT_Item_GuinsoosRageblade,1,3.0,1.0,4.461538461538462,-1.4615384615384617
TFT16.4,TFT16_MissFortune,TFT16_Item_Bilgewater_DeadmansDagger,TFT_Item_InfinityEdge,4,4.25,0.5,4.461538461538462,-0.21153846153846168
TFT16.4,TFT16_MissFortune,TFT_Item_GuinsoosRageblade,TFT_Item_InfinityEdge,2,3.5,1.0,4.461538461538462,-0.9615384615384617
TFT16.4,TFT16_Wukong,TFT_Item_RedBuff,TFT_Item_SpectralGauntlet,14,4.428571428571429,0.5,4.207792207792208,0.22077922077922096
TFT16.4,TFT16_TahmKench,TFT16_Item_Bilgewater_PileOCitrus,TFT_Item_FrozenHeart,2,4.5,0.5,3.526315789473684,0.9736842105263159
TFT16.4,TFT16_TahmKench,TFT16_Item_Bilgewater_PileOCitrus,TFT_Item_NightHarvester,3,2.6666666666666665,1.0,3.526315789473684,-0.8596491228070176
TFT16.4,TFT16_TahmKench,TFT_Item_FrozenHeart,TFT_Item_NightHarvester,1,3.0,1.0,3.526315789473684,-0.5263157894736841
TFT16.4,TFT16_Volibear,TFT16_Item_BilgewaterEmblemItem,TFT_Item_HextechGunblade,1,3.0,1.0,4.222222222222222,-1.2222222222222223
TFT16.4,TFT16_Volibear,TFT16_Item_BilgewaterEmblemItem,TFT_Item_SteraksGage,1,3.0,1.0,4.222222222222222,-1.2222222222222223
