patch_bucket,champion_id,item_name,n_games,avg_place,top4_rate,baseline_avg_place,delta
TFT16.4,TFT16_Yasuo,TFT_Item_InfinityEdge,3,3.3333333333333335,0.6666666666666666,4.375,-1.0416666666666665
TFT16.4,TFT16_Yasuo,TFT_Item_MadredsBloodrazor,1,5.0,0.0,4.375,0.625
TFT16.4,TFT16_Ambessa,TFT16_Item_IoniaEmblemItem,1,5.0,0.0,4.071428571428571,0.9285714285714288
TFT16.4,TFT16_Ambessa,TFT_Item_LastWhisper,6,3.0,0.8333333333333334,4.071428571428571,-1.0714285714285712
TFT16.4,TFT16_Yone,TFT_Item_HextechGunblade,2,3.5,0.5,4.0,-0.5
TFT16.4,TFT16_Yone,TFT_Item_UnstableConcoction,3,4.666666666666667,0.3333333333333333,4.0,0.666666666666667
TFT16.4,TFT16_Yone,TFT_Item_SteraksGage,4,5.0,0.25,4.0,1.0
TFT16.4,TFT16_MissFortune,TFT16_Item_Bilgewater_DeadmansDagger,8,4.0,0.5,4.461538461538462,-0.4615384615384617
TFT16.4,TFT16_MissFortune,TFT_Item_InfinityEdge,14,4.642857142857143,0.5,4.461538461538462,0.18131868131868156
TFT16.4,TFT16_MissFortune,TFT_Item_GuinsoosRageblade,6,4.666666666666667,0.6666666666666666,4.461538461538462,0.2051282051282053
TFT16.4,TFT16_Wukong,TFT_Item_SpectralGauntlet,31,3.838709677419355,0.6451612903225806,4.207792207792208,-0.3690825303728529
TFT16.4,TFT16_Wukong,TFT_Item_RedBuff,21,4.190476190476191,0.5238095238095238,4.207792207792208,-0.017316017316017174
TFT16.4,TFT16_Fiddlesticks,TFT_Item_ForceOfNature,1,3.0,1.0,3.683333333333333,-0.6833333333333331
TFT16.4,TFT16_Lucian,TFT_Item_BlueBuff,5,4.6,0.6,3.626865671641791,0.9731343283582086
TFT16.4,TFT16_TahmKench,TFT16_Item_Bilgewater_PileOCitrus,4,3.5,0.75,3.526315789473684,-0.02631578947368407
TFT16.4,TFT16_TahmKench,TFT_Item_FrozenHeart,9,3.4444444444444446,0.6666666666666666,3.526315789473684,-0.08187134502923943
TFT16.4,TFT16_TahmKench,TFT_Item_NightHarvester,3,2.6666666666666665,1.0,3.526315789473684,-0.8596491228070176
TFT16.4,TFT16_Volibear,TFT_Item_HextechGunblade,4,2.25,1.0,4.222222222222222,-1.9722222222222223
TFT16.4,TFT16_Volibear,TFT16_Item_BilgewaterEmblemItem,1,3.0,1.0,4.222222222222222,-1.2222222222222223
TFT16.4,TFT16_Volibear,TFT_Item_SteraksGage,9,3.5555555555555554,0.6666666666666666,4.222222222222222,-0.666666666666667
TFT16.4,TFT16_MissFortune,TFT_Item_PowerGauntlet,3,4.333333333333333,0.6666666666666666,4.461538461538462,-0.12820512820512864
TFT16.4,TFT16_MissFortune,TFT16_Item_Bilgewater_FirstMatesFlintlock,7,3.0,0.8571428571428571,4.461538461538462,-1.4615384615384617
TFT16.4,TFT16_Wukong,TFT16_Item_BilgewaterEmblemItem,1,4.0,1.0,4.207792207792208,-0.20779220779220786
TFT16.4,TFT16_Wukong,TFT16_Item_Bilgewater_FreebootersFrock,1,4.0,1.0,4.207792207792208,-0.20779220779220786
TFT16.4,TFT16_Kindred,TFT_Item_ForceOfNature,1,4.0,1.0,4.0,0.0
TFT16.4,TFT16_Lucian,TFT_Item_RapidFireCannon,11,2.909090909090909,0.8181818181818182,3.626865671641791,-0.7177747625508819
TFT16.4,TFT16_Lucian,TFT_Item_MadredsBloodrazor,2,2.5,1.0,3.626865671641791,-1.126865671641791
TFT16.4,TFT16_Lucian,TFT_Item_SpearOfShojin,10,3.0,0.8,3.626865671641791,-0.6268656716417911
