match_id,patch_bucket,puuid,placement,champion,item
NA1_5486923434,TFT16.4,S5j6K0KxSgx3JNqPHYyqb1_sIz-nW5Jcru9vdj9JWG5IdDoUYJ7dOe4wxlJDlsVzF0NdCrH0lSV-kw,5,TFT16_Yasuo,TFT_Item_MadredsBloodrazor
NA1_5486923434,TFT16.4,S5j6K0KxSgx3JNqPHYyqb1_sIz-nW5Jcru9vdj9JWG5IdDoUYJ7dOe4wxlJDlsVzF0NdCrH0lSV-kw,5,TFT16_Yasuo,TFT_Item_InfinityEdge
NA1_5486923434,TFT16.4,S5j6K0KxSgx3JNqPHYyqb1_sIz-nW5Jcru9vdj9JWG5IdDoUYJ7dOe4wxlJDlsVzF0NdCrH0lSV-kw,5,TFT16_Ambessa,TFT16_Item_IoniaEmblemItem
NA1_5486923434,TFT16.4,S5j6K0KxSgx3JNqPHYyqb1_sIz-nW5Jcru9vdj9JWG5IdDoUYJ7dOe4wxlJDlsVzF0NdCrH0lSV-kw,5,TFT16_Ambessa,TFT_Item_LastWhisper
NA1_5486923434,TFT16.4,S5j6K0KxSgx3JNqPHYyqb1_sIz-nW5Jcru9vdj9JWG5IdDoUYJ7dOe4wxlJDlsVzF0NdCrH0lSV-kw,5,TFT16_Yone,TFT_Item_UnstableConcoction
NA1_5486923434,TFT16.4,S5j6K0KxSgx3JNqPHYyqb1_sIz-nW5Jcru9vdj9JWG5IdDoUYJ7dOe4wxlJDlsVzF0NdCrH0lSV-kw,5,TFT16_Yone,TFT_Item_SteraksGage
NA1_5486923434,TFT16.4,S5j6K0KxSgx3JNqPHYyqb1_sIz-nW5Jcru9vdj9JWG5IdDoUYJ7dOe4wxlJDlsVzF0NdCrH0lSV-kw,5,TFT16_Yone,TFT_Item_HextechGunblade
NA1_5486923434,TFT16.4,HgDMwCFen7H246Z-eJ5oDE90qKvX0mF0Vyd2pDY9GbMUYWJWuCjYqNZvauKrV9cQeWnz3BnFBaeg0A,3,TFT16_MissFortune,TFT16_Item_Bilgewater_DeadmansDagger
NA1_5486923434,TFT16.4,HgDMwCFen7H246Z-eJ5oDE90qKvX0mF0Vyd2pDY9GbMUYWJWuCjYqNZvauKrV9cQeWnz3BnFBaeg0A,3,TFT16_MissFortune,TFT_Item_GuinsoosRageblade
NA1_5486923434,TFT16.4,HgDMwCFen7H246Z-eJ5oDE90qKvX0mF0Vyd2pDY9GbMUYWJWuCjYqNZvauKrV9cQeWnz3BnFBaeg0A,3,TFT16_MissFortune,TFT_Item_InfinityEdge
NA1_5486923434,TFT16.4,HgDMwCFen7H246Z-eJ5oDE90qKvX0mF0Vyd2pDY9GbMUYWJWuCjYqNZvauKrV9cQeWnz3BnFBaeg0A,3,TFT16_Wukong,TFT_Item_SpectralGauntlet
NA1_5486923434,TFT16.4,HgDMwCFen7H246Z-eJ5oDE90qKvX0mF0Vyd2pDY9GbMUYWJWuCjYqNZvauKrV9cQeWnz3BnFBaeg0A,3,TFT16_Wukong,TFT_Item_RedBuff
NA1_5486923434,TFT16.4,HgDMwCFen7H246Z-eJ5oDE90qKvX0mF0Vyd2pDY9GbMUYWJWuCjYqNZvauKrV9cQeWnz3BnFBaeg0A,3,TFT16_Fiddlesticks,TFT_Item_ForceOfNature
NA1_5486923434,TFT16.4,HgDMwCFen7H246Z-eJ5oDE90qKvX0mF0Vyd2pDY9GbMUYWJWuCjYqNZvauKrV9cQeWnz3BnFBaeg0A,3,TFT16_Lucian,TFT_Item_BlueBuff
NA1_5486923434,TFT16.4,HgDMwCFen7H246Z-eJ5oDE90qKvX0mF0Vyd2pDY9GbMUYWJWuCjYqNZvauKrV9cQeWnz3BnFBaeg0A,3,TFT16_TahmKench,TFT16_Item_Bilgewater_PileOCitrus
NA1_5486923434,TFT16.4,HgDMwCFen7H246Z-eJ5oDE90qKvX0mF0Vyd2pDY9GbMUYWJWuCjYqNZvauKrV9cQeWnz3BnFBaeg0A,3,TFT16_TahmKench,TFT_Item_FrozenHeart
NA1_5486923434,TFT16.4,HgDMwCFen7H246Z-eJ5oDE90qKvX0mF0Vyd2pDY9GbMUYWJWuCjYqNZvauKrV9cQeWnz3BnFBaeg0A,3,TFT16_TahmKench,TFT_Item_NightHarvester
NA1_5486923434,TFT16.4,HgDMwCFen7H246Z-eJ5oDE90qKvX0mF0Vyd2pDY9GbMUYWJWuCjYqNZvauKrV9cQeWnz3BnFBaeg0A,3,TFT16_Volibear,TFT_Item_SteraksGage
NA1_5486923434,TFT16.4,HgDMwCFen7H246Z-eJ5oDE90qKvX0mF0Vyd2pDY9GbMUYWJWuCjYqNZvauKrV9cQeWnz3BnFBaeg0A,3,TFT16_Volibear,TFT_Item_HextechGunblade
NA1_5486923434,TFT16.4,HgDMwCFen7H246Z-eJ5oDE90qKvX0mF0Vyd2pDY9GbMUYWJWuCjYqNZvauKrV9cQeWnz3BnFBaeg0A,3,TFT16_Volibear,TFT16_Item_BilgewaterEmblemItem
NA1_5486923434,TFT16.4,lypNEDahB4gRQw5GSONrABkieoAE0hDraDdfoTsyq8NDZWlWEDWLgambSzu9KP0ZuhiiaFnAFSYHCA,4,TFT16_MissFortune,TFT_Item_PowerGauntlet
NA1_5486923434,TFT16.4,lypNEDahB4gRQw5GSONrABkieoAE0hDraDdfoTsyq8NDZWlWEDWLgambSzu9KP0ZuhiiaFnAFSYHCA,4,TFT16_MissFortune,TFT_Item_InfinityEdge
NA1_5486923434,TFT16.4,lypNEDahB4gRQw5GSONrABkieoAE0hDraDdfoTsyq8NDZWlWEDWLgambSzu9KP0ZuhiiaFnAFSYHCA,4,TFT16_MissFortune,TFT16_Item_Bilgewater_FirstMatesFlintlock
NA1_5486923434,TFT16.4,lypNEDahB4gRQw5GSONrABkieoAE0hDraDdfoTsyq8NDZWlWEDWLgambSzu9KP0ZuhiiaFnAFSYHCA,4,TFT16_Wukong,TFT16_Item_BilgewaterEmblemItem
NA1_5486923434,TFT16.4,lypNEDahB4gRQw5GSONrABkieoAE0hDraDdfoTsyq8NDZWlWEDWLgambSzu9KP0ZuhiiaFnAFSYHCA,4,TFT16_Wukong,TFT16_Item_Bilgewater_FreebootersFrock
NA1_5486923434,TFT16.4,lypNEDahB4gRQw5GSONrABkieoAE0hDraDdfoTsyq8NDZWlWEDWLgambSzu9KP0ZuhiiaFnAFSYHCA,4,TFT16_Wukong,TFT_Item_SpectralGauntlet
NA1_5486923434,TFT16.4,lypNEDahB4gRQw5GSONrABkieoAE0hDraDdfoTsyq8NDZWlWEDWLgambSzu9KP0ZuhiiaFnAFSYHCA,4,TFT16_Kindred,TFT_Item_ForceOfNature
NA1_5486923434,TFT16.4,lypNEDahB4gRQw5GSONrABkieoAE0hDraDdfoTsyq8NDZWlWEDWLgambSzu9KP0ZuhiiaFnAFSYHCA,4,TFT16_Lucian,TFT_Item_SpearOfShojin
NA1_5486923434,TFT16.4,lypNEDahB4gRQw5GSONrABkieoAE0hDraDdfoTsyq8NDZWlWEDWLgambSzu9KP0ZuhiiaFnAFSYHCA,4,TFT16_Lucian,TFT_Item_MadredsBloodrazor
NA1_5486923434,TFT16.4,lypNEDahB4gRQw5GSONrABkieoAE0hDraDdfoTsyq8NDZWlWEDWLgambSzu9KP0ZuhiiaFnAFSYHCA,4,TFT16_Lucian,TFT_Item_RapidFireCannon
NA1_5486923434,TFT16.4,lypNEDahB4gRQw5GSONrABkieoAE0hDraDdfoTsyq8NDZWlWEDWLgambSzu9KP0ZuhiiaFnAFSYHCA,4,TFT16_Shyvana,TFT_Item_ThiefsGloves
NA1_5486923434,TFT16.4,lypNEDahB4gRQw5GSONrABkieoAE0hDraDdfoTsyq8NDZWlWEDWLgambSzu9KP0ZuhiiaFnAFSYHCA,4,TFT16_Shyvana,TFT_Item_TitansResolve
NA1_5486923434,TFT16.4,lypNEDahB4gRQw5GSONrABkieoAE0hDraDdfoTsyq8NDZWlWEDWLgambSzu9KP0ZuhiiaFnAFSYHCA,4,TFT16_Shyvana,TFT_Item_LastWhisper
NA1_5486923434,TFT16.4,lypNEDahB4gRQw5GSONrABkieoAE0hDraDdfoTsyq8NDZWlWEDWLgambSzu9KP0ZuhiiaFnAFSYHCA,4,TFT16_TahmKench,TFT_Item_RedBuff
NA1_5486923434,TFT16.4,lypNEDahB4gRQw5GSONrABkieoAE0hDraDdfoTsyq8NDZWlWEDWLgambSzu9KP0ZuhiiaFnAFSYHCA,4,TFT16_TahmKench,TFT_Item_AdaptiveHelm
